,Compilation Rate (CR),Compilation Rate (CR),Compilation Rate (CR),Compilation Rate (CR),Compilation Rate (CR),Compilation Rate (CR),Next Identifier Match (NIM),Next Identifier Match (NIM),Next Identifier Match (NIM),Next Identifier Match (NIM),Next Identifier Match (NIM),Next Identifier Match (NIM),Identifier Sequence Match (ISM),Identifier Sequence Match (ISM),Identifier Sequence Match (ISM),Identifier Sequence Match (ISM),Identifier Sequence Match (ISM),Identifier Sequence Match (ISM),Prefix Match (PM),Prefix Match (PM),Prefix Match (PM),Prefix Match (PM),Prefix Match (PM),Prefix Match (PM)
,score@1,score@2,score@3,score@4,score@5,score@6,score@1,score@2,score@3,score@4,score@5,score@6,score@1,score@2,score@3,score@4,score@5,score@6,score@1,score@2,score@3,score@4,score@5,score@6
configuration,,,,,,,,,,,,,,,,,,,,,,,,
CG-350M,35.72467893971026,43.04169039033339,46.82102865818941,49.268045802492566,51.04384133611691,52.429303473144806,68.8887834503701,72.68488644271525,74.40738280508634,75.49756437021574,76.29689378123616,76.94059593850827,26.09951681861391,28.739771250264123,29.9908815173615,30.792002831132674,31.38411036293041,31.860754128118383,21.814904018784468,24.12332222985021,25.22550146653636,25.930035177715478,26.447455373871094,26.859342538292914
CG-350M-MGD,44.58309609666603,53.70405516543304,58.413361169102295,61.47276523059404,63.68697412538749,65.3729360409945,76.22255962548239,79.89055481748592,81.52827861074206,82.54570759789968,83.26374391092553,83.80148035680395,28.1501137132769,30.928529319805843,32.27009998457561,33.144187276699974,33.79315538995351,34.312888330859316,23.37906883761845,25.779591155583336,26.93647317276529,27.688796913163145,28.24729887028087,28.69181933350254
CG-2B,42.05099006769152,48.746125134434116,52.07060163218827,54.21332321123553,55.782248370974884,57.012715885367236,73.81065350793952,77.25501360156892,78.85177453027141,79.85702536850764,80.56873537040552,81.10647181628391,30.196497341320345,32.94233721091501,34.3133867876073,35.20560110086433,35.861304810572555,36.378986411057845,25.523165660650648,27.929734092841272,29.124944804533904,29.906469777225887,30.485036869620174,30.94616454048572
CG-2B-MGD,52.87530840766749,61.22603909660277,65.23154298728412,67.7370785095211,69.5245777187322,70.91478458910609,80.51970645916367,83.75403302334409,85.20971721389257,86.13272600746504,86.80173340924908,87.32207249952553,32.3636839450562,35.312349892255156,36.779485540769514,37.74605568907297,38.46333838318198,39.030567294028316,27.282711532732545,29.843024671606127,31.113881982699514,31.948967783330517,32.5686563353729,33.056896378757116
CG-6B,44.19244638451319,50.58834693490226,53.773486430062626,55.86702094008983,57.41601821977604,58.64490415638641,74.52868982096538,77.83007528310243,79.3252989182008,80.27772505851839,80.98469032707027,81.5524767508066,31.00500918057365,33.7709921600244,35.115850558373104,36.00086952133321,36.657218223572485,37.170356661133894,26.35430859924353,28.791356344605862,29.953969822765238,30.705922660370344,31.25947776948833,31.692726080724754
CG-6B-MGD,55.17808565825266,62.92465363446574,66.66350351110268,69.09597013981147,70.88473461124819,72.28126779275004,81.09223761624597,84.13614221547415,85.47969254127918,86.30796482571013,86.89662807616878,87.35054089960144,33.170021664130545,35.99230150446229,37.3855414566833,38.303635312240345,38.99309128574137,39.551422563688384,28.11611358772491,30.575511890896927,31.7612018613006,32.529518440292165,33.10097376296201,33.55998186239897
SC,44.69696969696969,51.31966850129689,54.686847599164935,56.93363699626747,58.625925223002476,59.97342949326247,75.7433415575378,78.90554817485925,80.32074397418866,81.21401910545961,81.87195546276965,82.3970392863921,31.844954534698743,34.58602420469151,35.97138829283025,36.89269316962523,37.583893904329116,38.14246748596227,26.751506031054216,29.10102192360234,30.27223391181647,31.047986517232296,31.62991478153248,32.09694265189863
SC-MGD,55.34415132536219,63.55728474726388,67.48718921996583,69.94369583096096,71.68817612450181,73.03093566141582,82.3005630416904,85.23945087619408,86.53159992408426,87.34484721958627,87.94363256784969,88.42285063579428,34.13716084363118,37.02231451203238,38.459479729814475,39.411010795139795,40.12358091638569,40.69126792613497,28.59519180273788,31.103386534083494,32.348529156030075,33.16616158863896,33.77306875940889,34.25429395470208
