,Compilation Rate (CR),Compilation Rate (CR),Compilation Rate (CR),Compilation Rate (CR),Compilation Rate (CR),Compilation Rate (CR),Next Identifier Match (NIM),Next Identifier Match (NIM),Next Identifier Match (NIM),Next Identifier Match (NIM),Next Identifier Match (NIM),Next Identifier Match (NIM),Identifier Sequence Match (ISM),Identifier Sequence Match (ISM),Identifier Sequence Match (ISM),Identifier Sequence Match (ISM),Identifier Sequence Match (ISM),Identifier Sequence Match (ISM),Prefix Match (PM),Prefix Match (PM),Prefix Match (PM),Prefix Match (PM),Prefix Match (PM),Prefix Match (PM)
SC-classExprTypes,48.06098563927373,55.401404441070426,59.041563864110834,61.41266527487821,63.171379768457015,64.56633137217689,78.56803947618144,81.61131144429685,82.95929018789144,83.80337825014233,84.41829569178212,84.91174795976465,33.208366403106176,36.056266816013874,37.478802411702965,38.41431131263999,39.11160734421112,39.66597179832546,27.93045609078515,30.410749046321904,31.639297765435444,32.448161012012086,33.05745204371009,33.55059359030316
SC-classExprTypes-MGD,56.79920288479787,65.20149300942622,69.23040425128107,71.76820396027077,73.59081419624218,75.01423420003796,83.55475422281268,86.3851458214715,87.62288859366105,88.38995381792876,88.94477130385272,89.37179730499146,34.9193283445047,37.85979581483904,39.31270279654634,40.27142199506433,40.98872703192434,41.561747825635884,29.29705980745126,31.817161566487716,33.057335328558,33.87660551629196,34.489919407919515,34.97838228951299
SC-RLPG,50.59309166824825,57.76048586069463,61.24406908331751,63.47947112038971,65.11355728474726,66.38830897703549,79.65300183463023,82.50585183779339,83.74881381666351,84.49990510533308,85.02562156006832,85.42417916113114,35.57030742117765,38.523676239292755,40.0314989931763,41.02941207514353,41.76928258840009,42.35452507467172,30.3421651443446,32.92850048610419,34.23106580892534,35.084644928030265,35.714143438145676,36.20780978633676
SC-RLPG-MGD,60.50483962801291,68.7828177389764,72.65562725374835,75.07623204909217,76.80141709369266,78.13626874169671,84.71246915923325,87.27778832162967,88.37113304232301,89.04535965078763,89.525210349845,89.89371797304992,37.47518405500656,40.56383208857486,42.11175045927945,43.12632822045407,43.87652277126343,44.4730310865453,31.814080885653013,34.52967851218502,35.8801891067139,36.77091803723661,37.437290631702744,37.97050621903203
SC-FIM,51.71917504902891,59.30853419371164,62.942209147845894,65.24704244954768,66.91813753400393,68.22926551527803,79.58499399000442,82.42360979312961,83.68238754981971,84.48535458973872,85.07939520465617,85.55703169481875,35.52535564186261,38.48782964808012,39.94757857525001,40.91082987857955,41.636248362536975,42.22065822909456,30.33911570788072,32.92880416204875,34.190557565158635,35.01584529282747,35.63181795122734,36.12326222678888
SC-FIM-MGD,62.157588410198,70.72626051749225,74.71484152590624,77.16581261466439,78.88593661036249,80.18599354716265,84.67767444802934,87.24362624153856,88.33412412222432,89.00866704624534,89.50148668311509,89.89371797304992,37.552752511782,40.611271224309895,42.12766257464915,43.13394258135106,43.890162105311745,44.49711268122593,31.937943774854844,34.602162814486135,35.90357997798328,36.75709360749582,37.397429605899994,37.90990648077383
SC-FIM-classExprTypes,53.30075283102423,61.42911368381099,65.34541658758778,67.81868792307206,69.597330296704,70.97172138925792,81.36110583918516,84.13108116657178,85.32453976086543,86.05997342949327,86.58347567533372,86.9899411653065,36.097171230579335,39.04408615331272,40.47921804789472,41.42170671893477,42.119985635428044,42.67132096027691,30.62213625758116,33.18586987314861,34.43831532349217,35.26025010271139,35.87383101905703,36.364915283636485
SC-FIM-classExprTypes-MGD,61.711583475675326,70.61175428607581,74.69586259252232,77.20060732586828,78.96817865502626,80.32833554754222,85.32137660530145,87.81362687416967,88.88878345037008,89.5603213766053,90.04396786233946,90.41563864110836,37.6806357413135,40.6137479174813,42.02259470282186,42.944795018524076,43.63307263953589,44.18101757232171,31.87785127651206,34.512492477899784,35.79316383290621,36.62882297603417,37.25316122606348,37.75472435306206
TD-3,51.71284873790092,56.731827671284876,59.108464604289246,60.64022268615171,61.77010185360917,62.65894856709053,80.75536154868097,83.42190168912506,84.56301005883469,85.2704498007212,85.78161573986208,86.18333649648889,38.57358094332489,41.48641650964019,42.871031368079855,43.7698993238355,44.438416245428684,44.97281253211191,33.1271966402104,35.68767550441467,36.90421431038277,37.69651924868723,38.28913981947876,38.76563801243524
TD-3-MGD,61.233946985512745,67.26576833048648,70.11007781362689,71.92636173847029,73.23970392863922,74.26456633137218,86.32093376352249,88.70816726766621,89.73619282596317,90.37325235655089,90.83317517555514,91.19377490985006,40.69493824648326,43.67129848330911,45.12256080060183,46.07262572794244,46.77485377131491,47.32860672373113,34.29410802966261,36.84409443119493,38.06843318567872,38.86682739708561,39.46362889865108,39.940870471594124
