,Compilation Rate (CR),Compilation Rate (CR),Compilation Rate (CR),Compilation Rate (CR),Compilation Rate (CR),Compilation Rate (CR),Next Identifier Match (NIM),Next Identifier Match (NIM),Next Identifier Match (NIM),Next Identifier Match (NIM),Next Identifier Match (NIM),Next Identifier Match (NIM),Identifier Sequence Match (ISM),Identifier Sequence Match (ISM),Identifier Sequence Match (ISM),Identifier Sequence Match (ISM),Identifier Sequence Match (ISM),Identifier Sequence Match (ISM),Prefix Match (PM),Prefix Match (PM),Prefix Match (PM),Prefix Match (PM),Prefix Match (PM),Prefix Match (PM)
,score@1,score@2,score@3,score@4,score@5,score@6,score@1,score@2,score@3,score@4,score@5,score@6,score@1,score@2,score@3,score@4,score@5,score@6,score@1,score@2,score@3,score@4,score@5,score@6
configuration,,,,,,,,,,,,,,,,,,,,,,,,
CG-350M,48.148148148148145,56.29629629629629,60.555555555555564,62.962962962962955,64.81481481481482,66.66666666666666,51.85185185185185,54.81481481481482,55.55555555555556,55.55555555555556,55.55555555555556,55.55555555555556,15.544733044733045,16.854256854256853,17.56854256854257,18.00505050505051,18.256373256373255,18.322510822510825,13.674781561928581,14.105552834993762,14.218389686181865,14.259541949556354,14.30069421293084,14.341846476305326
CG-350M-MGD,46.29629629629629,57.03703703703704,62.22222222222222,65.18518518518519,66.66666666666666,66.66666666666666,64.81481481481482,70.37037037037037,72.22222222222221,74.07407407407408,75.92592592592592,77.77777777777779,16.34867190422746,17.47668483779595,18.135121051787717,18.767102239324462,19.399083426861203,20.031064614397952,14.64595185271856,15.287404055742684,15.57911288661363,15.854360812134777,16.12960873765593,16.40485666317708
CG-2B,31.481481481481477,37.77777777777778,41.66666666666667,43.7037037037037,44.44444444444444,44.44444444444444,51.85185185185185,61.48148148148148,65.55555555555556,66.66666666666666,66.66666666666666,66.66666666666666,15.391414141414142,16.726791726791728,17.58627946127946,18.203463203463205,18.71933621933622,19.182299182299182,13.577779798260151,15.531772705658076,16.079059880185397,16.366537834330014,16.543492566840303,16.687525488651005
CG-2B-MGD,46.29629629629629,55.55555555555556,61.66666666666667,65.18518518518519,66.66666666666666,66.66666666666666,83.33333333333334,94.81481481481482,98.88888888888889,100.0,100.0,100.0,19.798848271070494,21.881446742557852,22.80222863556197,23.404080487413825,23.867043450376784,24.330006413339746,17.726441414493742,20.178469161626523,20.696772234662543,20.84930110762152,20.84930110762152,20.84930110762152
CG-6B,40.74074074074074,43.7037037037037,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,55.55555555555556,62.22222222222222,64.44444444444444,65.92592592592594,66.66666666666666,66.66666666666666,16.573873657206992,18.018278018278018,18.673039923039923,18.99270482603816,19.116161616161616,19.182299182299182,14.237754217692956,14.810067784032807,15.115509027745652,15.386199471275605,15.622139114622657,15.823327957786807
CG-6B-MGD,51.85185185185186,64.44444444444444,70.0,73.33333333333333,75.92592592592592,77.77777777777779,75.92592592592592,82.22222222222223,86.11111111111111,88.14814814814815,88.88888888888889,88.88888888888889,18.035914702581373,20.02665544332211,21.271143979477316,21.99755491422158,22.434062850729518,22.808842392175727,15.950538722226549,17.284453105497537,18.227636432193407,18.906914276345802,19.388395757827283,19.73818999651041
SC,29.629629629629633,36.29629629629629,42.22222222222222,47.40740740740741,51.85185185185186,55.55555555555556,55.55555555555556,59.25925925925925,61.111111111111114,62.962962962962955,64.81481481481482,66.66666666666666,17.07691999358666,19.045614878948214,20.45875420875421,21.620570787237455,22.577360910694246,23.348965848965854,15.212017722820656,16.44061190840409,17.32950079729298,18.127854706757997,18.88917157918598,19.650488451613967
SC-MGD,38.88888888888889,51.85185185185185,61.66666666666667,68.88888888888889,74.07407407407408,77.77777777777779,74.07407407407408,85.92592592592592,93.33333333333333,97.77777777777779,100.0,100.0,17.532534338089892,19.842939981828874,21.682299182299182,23.25563839452728,24.675391480947034,25.961399711399714,15.944789882331559,17.781012143725686,19.167252939234555,20.25922712349775,21.14096496334124,21.82481213777736
